ref,heading,source_basis,status
Jeremiah 21:11,A Message to the House of David,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 22:1,A Warning to Judah's Kings,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 22:6,A Warning About the Palace,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 22:10,A Warning About Shallum,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 22:13,A Warning About Jehoiakim,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 22:24,A Warning to Coniah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 23:1,David's Righteous Branch,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 23:9,Lying Prophets,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 23:33,False Prophecies,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 24:1,Good and Bad Figs,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 25:1,Seventy Years of Captivity,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 25:15,Cup of God's Wrath,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 26:7,Jeremiah Threatened with Death,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 26:16,Jeremiah Spared from Death,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 26:20,Prophet Uriah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 27:1,Yoke of Nebuchadnezzar,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 28:1,Hananiah's False Prophecy,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 29:1,Jeremiah's Letter to the Exiles,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 30:1,Restoration of Israel and Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 31:1,Mourning Turned to Joy,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 31:26,New Covenant,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 32:16,Jeremiah Prays for Understanding,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 32:26,Lord Answers Jeremiah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 32:36,A Promise of Restoration,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 33:1,Excellence of the Restored Nation,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 33:14,Covenant with David,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 34:8,Freedom for Hebrew Slaves,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 35:1,Obedience of the Rechabites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 35:12,Judah Rebuked,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 36:1,Jeremiah's Scroll Read in the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 36:11,Jeremiah's Scroll Read in the Palace,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 36:27,Jeremiah Rewrites the Scroll,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 37:1,Jeremiah Warns Zedekiah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 38:1,Jeremiah Cast into the Cistern,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 39:1,Fall of Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 39:11,Jeremiah Delivered,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 40:1,Jeremiah Remains in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 40:7,Gedaliah Governs in Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 40:13,Plot Against Gedaliah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 41:1,Murder of Gedaliah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 41:11,Johanan Rescues the Captives,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 42:1,A Warning Against Going to Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 43:1,Jeremiah Taken to Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 44:1,Judgment on the Jews in Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 44:15,Stubbornness of the People,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 44:20,Calamity for the Jews,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 45:1,Jeremiah's Message to Baruch,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 46:1,Judgment on Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 47:1,Judgment on the Philistines,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 48:1,Judgment on Moab,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 49:1,Judgment on the Ammonites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 49:7,Judgment on Edom,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 50:1,A Prophecy Against Babylon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 50:4,Hope for Israel and Judah,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 50:11,Babylon's Fall Is Certain,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 51:1,Judgment on Babylon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 51:15,Praise to the God of Jacob,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 51:20,Babylon's Punishment,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 52:1,Fall of Jerusalem Recounted,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 52:12,Temple Destroyed,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 52:24,Captives Carried to Babylon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Jeremiah 52:31,Jehoiachin Released from Prison,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Lamentations 1:1,How Lonely Lies the City,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Lamentations 2:1,God's Anger Over Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Lamentations 3:1,Prophet's Afflictions,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Lamentations 3:19,Prophet's Hope,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Lamentations 3:37,God's Justice,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Lamentations 4:1,Distress of Zion,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Lamentations 5:1,A Prayer for Restoration,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 1:1,Ezekiel's Vision by the River Kebar,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 1:4,Four Living Creatures,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 1:15,Four Wheels,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 1:22,Divine Glory,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 2:1,Ezekiel's Call,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 3:1,Ezekiel Eats the Scroll,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 3:16,A Watchman for Israel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 4:1,A Sign of Jerusalem's Siege,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 4:9,Defiled Bread,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 5:1,Razor of Judgment,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 5:11,"Famine, Sword, and Dispersion",Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 6:1,Judgment Against Idolatry,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 6:8,A Remnant to Be Blessed,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 7:1,Hour of Doom,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 7:14,Desolation of Israel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 8:1,Vision of Idolatry in the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 9:1,Execution of the Idolaters,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 10:1,God's Glory Exits the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 11:1,Evil in High Places,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 11:13,A Promise of Restoration,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 11:22,God's Glory Leaves Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 12:1,Signs of the Coming Captivity,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 12:21,Presumptuous Proverb,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 13:1,Reproof of False Prophets,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 13:17,Reproof of False Prophetesses,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 14:1,Idolatrous Elders Condemned,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 14:12,Four Dire Judgments,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 15:1,Jerusalem the Useless Vine,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 16:1,Jerusalem's Unfaithfulness,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 16:35,Judgment on Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 16:59,Covenant Remembered,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 17:1,Parable of Two Eagles and a Vine,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 17:11,Parable Explained,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 18:1,Soul Who Sins Will Die,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 19:1,A Lament for the Princes of Israel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 20:1,Israel's Rebellion in Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 20:10,Israel's Rebellion in the Wilderness,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 20:27,Israel's Rebellion in the Land,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 20:33,Judgment and Restoration,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 21:1,God's Sword of Judgment,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 22:1,Sins of Jerusalem,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 22:17,Refining Furnace,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 22:23,Israel's Wicked Leaders,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 23:1,Two Adulterous Sisters,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 23:22,Oholibah to Be Plagued,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 23:36,Judgment on Both Sisters,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 24:1,Parable of the Cooking Pot,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 24:15,Ezekiel's Wife Dies,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 25:1,A Prophecy Against Ammon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 25:8,A Prophecy Against Moab,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 25:12,A Prophecy Against Edom,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 25:15,A Prophecy Against the Philistines,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 26:1,A Prophecy Against Tyre,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 27:1,A Lament for Tyre,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 28:1,A Prophecy Against the Ruler of Tyre,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 28:11,A Lament for the King of Tyre,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 28:20,A Prophecy Against Sidon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 28:25,Restoration of Israel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 29:1,A Prophecy Against Pharaoh,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 29:8,Desolation of Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 29:17,Egypt the Reward of Nebuchadnezzar,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 30:1,A Lament for Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 30:20,Pharaoh's Power Broken,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 31:1,Egypt Will Fall Like Assyria,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 32:1,A Lament for Pharaoh King of Egypt,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 32:17,Egypt Cast into the Pit,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 33:1,Ezekiel the Watchman for Israel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 33:10,Message of the Watchman,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 33:21,Word of Jerusalem's Fall,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 34:1,A Prophecy Against Israel's Shepherds,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 34:11,Good Shepherd,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 34:25,Covenant of Peace,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 35:1,A Prophecy Against Mount Seir,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 36:1,A Prophecy to the Mountains of Israel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 36:16,A New Heart and a New Spirit,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 37:1,Valley of Dry Bones,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 37:15,One Nation with One King,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 38:1,A Prophecy Against Gog,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 39:1,Slaughter of Gog's Armies,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 39:21,Israel to Be Restored,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 40:1,Man with a Measuring Rod,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 40:5,East Gate,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 40:17,Outer Court,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 40:20,North Gate,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 40:24,South Gate,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 40:28,Gates of the Inner Court,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 40:38,Eight Tables for Sacrifices,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 40:44,Chambers for Ministry,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 40:47,Inner Court,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 41:1,Inside the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 41:5,Outside the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 41:15,Interior Structures,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 42:1,Chambers for the Priests,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 42:15,Outer Measurements,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 43:1,Glory of the Lord Returns to the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 43:13,Altar of Sacrifice,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 44:1,East Gate Assigned to the Prince,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 44:6,Reproof of the Levites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 44:15,Duties of the Priests,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 45:1,Consecration of the Land,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 45:7,Prince's Portion,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 45:10,Honest Scales,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 45:13,Offerings and Feasts,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 46:1,Prince's Offerings,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 46:19,Courts for Boiling and Baking,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 47:1,Waters from Under the Temple,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 47:13,Borders of the Land,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 48:1,Portions for the Tribes,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 48:8,Portions for the Priests and Levites,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 48:15,Common Portion,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 48:21,Portion for the Prince,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 48:23,Portions for the Remaining Tribes,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Ezekiel 48:30,City Gates and Dimensions,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 1:1,Daniel Removed to Babylon,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 1:8,Daniel's Faithfulness,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 1:17,Daniel's Wisdom,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 2:1,Nebuchadnezzar's Troubling Dream,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 2:14,Dream Revealed to Daniel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 2:24,Daniel Interprets the Dream,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 2:46,Nebuchadnezzar Promotes Daniel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 3:1,Nebuchadnezzar's Golden Statue,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 3:8,"Shadrach, Meshach, and Abednego Accused",Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 3:19,Fiery Furnace,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 4:4,Nebuchadnezzar's Dream of a Great Tree,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 4:19,Daniel Interprets the Second Dream,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 4:28,Second Dream Fulfilled,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 4:34,Nebuchadnezzar Restored,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 5:1,Belshazzar's Feast,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 5:5,Handwriting on the Wall,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 5:13,Daniel Interprets the Handwriting,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
Daniel 6:1,Plot Against Daniel,Original CC-BY editorial heading reworded from public-domain BSB heading; placement informed by public-domain BSB section-heading structure,active
