ref,marker_types,draft_translation,comparison_notes,greek_absent_in_ethiopic,ethiopic_absent_in_greek,restored_text,interpolations,supplied_text,emended_text,corrupt_text,next_review
1 Enoch 61:2,supplied_text,"And I asked the angel, saying unto him: ‘Why have those (angels) taken these cords and gone off?’ And he said unto me: ‘They have gone to measure.’",Charles supplied text: angels,,,,,angels,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 61:7,supplied_text,"And that One (with) their first words they blessed, And extolled and lauded with wisdom, And they were wise in utterance and in the spirit of life.",Charles supplied text: with,,,,,with,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 61:10,supplied_text,"And He will summon all the host of the heavens, and all the holy ones above, and the host of God, the Cherubin, Seraphin, and Ophannin, and all the angels of power, and all the angels of principalities, and the Elect One, and the other powers on the earth (and) over the water.",Charles supplied text: and,,,,,and,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 62:4,interpolations,"Then shall pain come upon them as on a woman in travail, And she has pain in bringing forth When her child enters the mouth of the womb, And she has pain in bringing forth.",Charles marks interpolation: And she has pain in bringing forth,,,,And she has pain in bringing forth,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 62:11,emended_text,"And He will deliver them to the angels for punishment, To execute vengeance on them because they have oppressed His children and His elect.",Charles emended text: He will deliver,,,,,,He will deliver,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 63:1,supplied_text,"In those days shall the mighty and the kings who possess the earth implore (Him) to grant them a little respite from His angels of punishment to whom they were delivered, that they might fall down and worship before the Lord of Spirits, and confess their sins before Him.",Charles supplied text: Him,,,,,Him,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 63:6,supplied_text,"And now we long for a little rest, but find it not: We follow hard upon (it) and obtain (it) not: And light has vanished from before us, And darkness is our dwelling-place for ever and ever:",Charles supplied text: it; it,,,,,it; it,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 63:7,interpolations,"For we have not believed before Him, Nor glorified the name of the Lord of Spirits, nor glorified our Lord But our hope was in the sceptre of our kingdom, And in our glory.",Charles marks interpolation: nor glorified our Lord,,,,nor glorified our Lord,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 63:10,corrupt_text,"Now they will say unto themselves: ‘Our souls are full of unrighteous gain, but it does not prevent us from descending from the midst thereof into the burden of Sheol.’",Charles marks corrupt text: burden,,,,,,,burden,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 65:10,emended_text,"And He said unto me: “Because of their unrighteousness their judgement has been determined upon and shall not be withheld by Me for ever. Because of the sorceries which they have searched out and learnt, the earth and those who dwell upon it shall be destroyed.”",Charles emended text: withheld; sorceries,,,,,,withheld; sorceries,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 65:11,emended_text,"And these—they have no place of repentance for ever, because they have shown them what was hidden, and they are the damned: but as for thee, my son, the Lord of Spirits knows that thou art pure, and guiltless of this reproach concerning the secrets.",Charles emended text: place of repentance,,,,,,place of repentance,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 66:1,interpolations,And after that he showed me the angels of punishment who are prepared to come and let loose all the powers of the waters which are beneath in the earth in order to bring judgement and destruction on all who abide and dwell on the earth.,Charles marks interpolation: abide and,,,,abide and,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 66:2,emended_text,"And the Lord of Spirits gave commandment to the angels who were going forth, that they should not cause the waters to rise but should hold them in check; for those angels were over the powers of the waters.",Charles emended text: the waters,,,,,,the waters,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 67:2,supplied_text,"And now the angels are making a wooden (building), and when they have completed that task I will place My hand upon it and preserve it, and there shall come forth from it the seed of life, and a change shall set in so that the earth will not remain without inhabitant.",Charles supplied text: building,,,,,building,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 67:3,emended_text,"And I will make fast thy seed before me for ever and ever, and I will spread abroad those who dwell with thee: it shall not be unfruitful on the face of the earth, but it shall be blessed and multiply on the earth in the name of the Lord.’",Charles emended text: be unfruitful,,,,,,be unfruitful,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 67:6,supplied_text,"And when all this took place, from that fiery molten metal and from the convulsion thereof in that place, there was produced a smell of sulphur, and it was connected with those waters, and that valley of the angels who had led astray (mankind) burned beneath that land.",Charles supplied text: mankind,,,,,mankind,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 67:13,emended_text,Because these waters of judgement minister to the healing of the body of the kings and the lust of their body; therefore they will not see and will not believe that those waters will change and become a fire which burns for ever.,Charles emended text: kings,,,,,,kings,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 68:2,emended_text,"And on that day Michael answered Raphael and said: ‘The power of the spirit transports and makes me to tremble because of the severity of the judgement of the secrets, the judgement of the angels: who can endure the severe judgement which has been executed, and before which they melt away?’",Charles emended text: makes me to tremble,,,,,,makes me to tremble,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 68:3,supplied_text,"And Michael answered again, and said to Raphael: ‘Who is he whose heart is not softened concerning it, and whose reins are not troubled by this word of judgement (that) has gone forth upon them because of those who have thus led them out?’",Charles supplied text: that,,,,,that,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 68:5,supplied_text,"Therefore all that is hidden shall come upon them for ever and ever; for neither angel nor man shall have his portion (in it), but alone they have received their judgement for ever and ever.’",Charles supplied text: in it,,,,,in it,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 69:1,emended_text,And after this judgement they shall terrify and make them to tremble because they have shown this to those who dwell on the earth.,Charles emended text: make; to tremble,,,,,,make; to tremble,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 69:2,corrupt_text,"And behold the names of those angels and these are their names: the first of them is Samjâzâ, the second Artâqîfâ, and the third Armên, the fourth Kôkabêl, the fifth Tûrâêl, the sixth Rûmjâl, the seventh Dânjâl, the eighth Nêqâêl, the ninth Barâqêl, the tenth Azâzêl, the eleventh Armârôs, the twelfth Batarjâl, the thirteenth Busasêjal, the fourteenth Hanânêl, the fifteenth Tûrêl, and the sixteenth Sîmâpêsîêl, the seventeenth Jetrêl, the eighteenth Tûmâêl, the nineteenth Tûrêl, the twentieth Rûmâêl, the twenty-first Azâzêl.",Charles marks corrupt text: Tûrâêl; Nêqâêl; Busasêjal; Tûrêl; Rûmâêl; Azâzêl,,,,,,,Tûrâêl; Nêqâêl; Busasêjal; Tûrêl; Rûmâêl; Azâzêl,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 69:4,interpolations; emended_text,"The name of the first Jeqôn: that is, the one who led astray all the sons of God, and brought them down to the earth, and led them astray through the daughters of men.",Charles marks interpolation: all; Charles emended text: God,,,,all,,God,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 69:5,emended_text,"And the second was named Asbeêl: he imparted to the holy sons of God evil counsel, and led them astray so that they defiled their bodies with the daughters of men.",Charles emended text: God,,,,,,God,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 69:6,interpolations,"And the third was named Gâdreêl: he it is who showed the children of men all the blows of death, and he led astray Eve, and showed the weapons of death to the sons of men the shield and the coat of mail, and the sword for battle, and all the weapons of death to the children of men.",Charles marks interpolation: the weapons of death to the sons of men,,,,the weapons of death to the sons of men,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 69:11,corrupt_text,"For men were created exactly like the angels, to the intent that they should continue pure and righteous, and death, which destroys everything, could not have taken hold of them; but through this their knowledge they are perishing, and through this power it is consuming me.",Charles marks corrupt text: it is consuming me,,,,,,,it is consuming me,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 69:12,interpolations,"And the fifth was named Kâsdejâ: this is he who showed the children of men all the wicked smitings of spirits and demons, and the smitings of the embryo in the womb, that it may pass away, and the smitings of the soul the bites of the serpent, and the smitings which befall through the noontide heat, the son of the serpent named Tabâ’ĕt.",Charles marks interpolation: the smitings of the soul,,,,the smitings of the soul,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 69:13,emended_text,"And this is the task of Kâsbeêl, the chief of the oath which he showed to the holy ones when he dwelt high above in glory, and its name is Bîqâ.",Charles emended text: task,,,,,,task,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 69:14,supplied_text,"This (angel) requested Michael to show him the hidden name, that he might enunciate it in the oath, so that those might quake before that name and oath who revealed all that was in secret to the children of men.",Charles supplied text: angel,,,,,angel,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 69:18,supplied_text; corrupt_text,"And through that oath the sea was created, And as its foundation He set for it the sand against the time of (its) anger, And it dare not pass beyond it from the creation of the world unto eternity.",Charles supplied text: its; Charles marks corrupt text: as its foundation,,,,,its,,as its foundation,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 69:22,supplied_text,"And in like manner the spirits of the water, and of the winds, and of all zephyrs, and (their) paths from all the quarters of the winds.",Charles supplied text: their,,,,,their,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 69:24,supplied_text,"And all these believe and give thanks before the Lord of Spirits, and glorify (Him) with all their power, and their food is in every act of thanksgiving: they thank and glorify and extol the name of the Lord of Spirits for ever and ever.",Charles supplied text: Him,,,,,Him,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 69:25,interpolations,"And this oath is mighty over them, And through it they are preserved and their paths are preserved, And their course is not destroyed. Close of the Third Parable.",Charles marks interpolation: they are preserved and,,,,they are preserved and,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 71:1,interpolations; emended_text,"And it came to pass after this that my spirit was translated And it ascended into the heavens: And I saw the holy sons of God. They were stepping on flames of fire: Their garments were white and their raiment, And their faces shone like snow.",Charles marks interpolation: and their raiment; Charles emended text: holy sons of God,,,,and their raiment,,holy sons of God,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 71:3,interpolations,"And the angel Michael one of the archangels seized me by my right hand, And lifted me up and led me forth into all the secrets, And he showed me all the secrets of righteousness.",Charles marks interpolation: one of the archangels,,,,one of the archangels,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 71:13,interpolations; supplied_text,"And that Head of Days came with Michael and Gabriel, Raphael and Phanuel, thousands and ten thousands of angels without number. Lost passage wherein the Son of Man was described as accompanying the Head of Days, and Enoch asked one of the angels (as in 46^3) concerning the Son of Man as to who he was.","Charles marks interpolation: Lost passage wherein the Son of Man was described as accompanying the Head of Days, and Enoch asked one of the angels (as in 46^3) concerning the Son of Man as to who he was.; Charles supplied text: as in 46^3",,,,"Lost passage wherein the Son of Man was described as accompanying the Head of Days, and Enoch asked one of the angels (as in 46^3) concerning the Son of Man as to who he was.",as in 46^3,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 71:14,supplied_text; emended_text,"And he (i. e. the angel) came to me and greeted me with His voice, and said unto me: ‘This is the Son of Man who is born unto righteousness; And righteousness abides over him, And the righteousness of the Head of Days forsakes him not.’",Charles supplied text: _i. e._ the angel; Charles emended text: This is; him; him,,,,,_i. e._ the angel,This is; him; him,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 71:16,emended_text,"And all shall walk in his ways since righteousness never forsakes him: With him will be their dwelling-places, and with him their heritage, And they shall not be separated from him for ever and ever and ever.",Charles emended text: his; him; him; him; him,,,,,,his; him; him; him; him,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 71:17,supplied_text,"And so there shall be length of days with that Son of Man, And the righteous shall have peace and an upright way, In the name of the Lord of Spirits for ever and ever.’ THE BOOK OF THE COURSES OF THE HEAVENLY LUMINARIES. (LXXII-LXXXII.)",Charles supplied text: LXXII-LXXXII.,,,,,LXXII-LXXXII.,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 72:5,supplied_text,"The chariot on which he ascends, the wind drives, and the sun goes down from the heaven and returns through the north in order to reach the east, and is so guided that he comes to the appropriate (lit. ‘that’) portal and shines in the face of the heaven.",Charles supplied text: lit. ‘that’,,,,,lit. ‘that’,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 72:6,interpolations,"In this way he rises in the first month in the great portal, which is the fourth those six portals in the east.",Charles marks interpolation: those six portals in the east,,,,those six portals in the east,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 72:12,corrupt_text,"And then the day becomes longer by two parts and amounts to eleven parts, and the night becomes shorter and amounts to seven parts.",Charles marks corrupt text: two,,,,,,,two,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 72:18,corrupt_text,"On that day the day decreases by two parts, and amounts to ten parts and the night to eight parts.",Charles marks corrupt text: two,,,,,,,two,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 72:20,interpolations,"On that day the day is equalised with the night, and becomes of equal length, and the night amounts to nine parts and the day to nine parts.",Charles marks interpolation: and becomes of equal length,,,,and becomes of equal length,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 72:27,supplied_text,"And the sun has (therewith) traversed the divisions of his orbit and turns again on those divisions of his orbit, and enters that portal thirty mornings and sets also in the west opposite to it.",Charles supplied text: therewith,,,,,therewith,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 72:28,corrupt_text,"And on that night has the night decreased in length by a ninth part, and the night has become eleven parts and the day seven parts.",Charles marks corrupt text: ninth,,,,,,,ninth,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 72:33,supplied_text,"And the length of the day and of the night, and the shortness of the day and of the night arise—through the course of the sun these distinctions are made (lit. ‘they are separated’).",Charles supplied text: lit. ‘they are separated’,,,,,lit. ‘they are separated’,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 72:36,supplied_text,"And that which (thus) rises is the great luminary, and is so named according to its appearance, according as the Lord commanded.",Charles supplied text: thus,,,,,thus,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 73:2,supplied_text,"And her circumference is like the circumference of the heaven, and her chariot in which she rides is driven by the wind, and light is given to her in (definite) measure.",Charles supplied text: definite,,,,,definite,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 73:3,supplied_text,"And her rising and setting changes every month: and her days are like the days of the sun, and when her light is uniform (i. e. full) it amounts to the seventh part of the light of the sun.",Charles supplied text: _i. e._ full,,,,,_i. e._ full,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 73:5,supplied_text,"And the one half of her goes forth by a seventh part, and her whole circumference is empty, without light, with the exception of one-seventh part of it, (and) the fourteenth part of her light.",Charles supplied text: and,,,,,and,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 73:7,interpolations,"And she sets with the sun, and when the sun rises the moon rises with him and receives the half of one part of light, and in that night in the beginning of her morning in the commencement of the lunar day the moon sets with the sun, and is invisible that night with the fourteen parts and the half of one of them.",Charles marks interpolation: in the commencement of the lunar day,,,,in the commencement of the lunar day,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 73:8,supplied_text,"And she rises on that day with exactly a seventh part, and comes forth and recedes from the rising of the sun, and in her remaining days she becomes bright in the (remaining) thirteen parts.",Charles supplied text: remaining,,,,,remaining,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 74:1,supplied_text,"And I saw another course, a law for her, (and) how according to that law she performs her monthly revolution.",Charles supplied text: and,,,,,and,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 74:12,emended_text,"And the sun and the stars bring in all the years exactly, so that they do not advance or delay their position by a single day unto eternity; but complete the years with perfect justice in 364 days.",Charles emended text: the sun; complete,,,,,,the sun; complete,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 74:14,interpolations; supplied_text,"For the moon alone the days amount in 3 years to 1062 days, and in 5 years she falls 50 days behind: i. e. to the sum (of 1770) there is to be added (1000 and) 62 days.",Charles marks interpolation: _i. e._ to the sum (of 1770) there is to be added (1000 and) 62 days; Charles supplied text: of 1770; 1000 and,,,,_i. e._ to the sum (of 1770) there is to be added (1000 and) 62 days,of 1770; 1000 and,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 74:16,interpolations,"For in 8 years she falls behind to the amount of 80 days, all the days she falls behind in 8 years are",Charles marks interpolation: For in 8 years she falls behind to the amount of 80 days,,,,For in 8 years she falls behind to the amount of 80 days,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 74:17,supplied_text,"And the year is accurately completed in conformity with their world-stations and the stations of the sun, which rise from the portals through which it (the sun) rises and sets 30 days.",Charles supplied text: the sun,,,,,the sun,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 75:5,interpolations,"And for the winds and the spirit of the dew when they are opened, standing open in the heavens at the ends.","Charles marks interpolation: And for the winds and the spirit of the dew† when they are opened, standing open in the heavens at the ends.",,,,"And for the winds and the spirit of the dew† when they are opened, standing open in the heavens at the ends.",,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 75:7,supplied_text,"There are many windows open to the left and right of them, and one window at its (appointed) season produces warmth, corresponding (as these do) to those doors from which the stars come forth according as He has commanded them, and wherein they set corresponding to their number.",Charles supplied text: appointed; as these do,,,,,appointed; as these do,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 76:1,supplied_text; emended_text,"And at the ends of the earth I saw twelve portals open to all the quarters (of the heaven), from which the winds go forth and blow over the earth.",Charles supplied text: of the heaven; Charles emended text: quarters,,,,,of the heaven,quarters,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 76:2,supplied_text,"Three of them are open on the face (i. e. the east) of the heavens, and three in the west, and three on the right (i. e. the south) of the heaven, and three on the left (i. e. the north).",Charles supplied text: _i. e._ the east; _i. e._ the south; _i. e._ the north,,,,,_i. e._ the east; _i. e._ the south; _i. e._ the north,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 76:3,interpolations; corrupt_text,"And the three first are those of the east, and three are of the north, and three after those on the left of the south, and three of the west.","Charles marks interpolation: after those on the left; Charles marks corrupt text: the north, and three [after those on the left] of the south",,,,after those on the left,,,"the north, and three [after those on the left] of the south",Review Charles editorial marker before using this wording in an appendix.
1 Enoch 76:12,interpolations,"And after these four are the west winds: through the first portal adjoining the north come forth dew and hoar-frost, and cold and snow and frost.",Charles marks interpolation: four,,,,four,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 76:14,emended_text,"And the twelve portals of the four quarters of the heaven are therewith completed, and all their laws and all their plagues and all their benefactions have I shown to thee, my son Methuselah.",Charles emended text: quarters,,,,,,quarters,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 77:1,emended_text,"And the first quarter is called the east, because it is the first: and the second, the south, because the Most High will descend there, yea, there in quite a special sense will He who is blessed for ever descend.",Charles emended text: quarter; will descend; descend,,,,,,quarter; will descend; descend,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 77:2,emended_text,"And the west quarter is named the diminished, because there all the luminaries of the heaven wane and go down.",Charles emended text: quarter,,,,,,quarter,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 77:3,emended_text,"And the fourth quarter, named the north, is divided into three parts: the first of them is for the dwelling of men: and the second contains seas of water, and the abysses and forests and rivers, and darkness and clouds; and the third part contains the garden of righteousness.",Charles emended text: quarter,,,,,,quarter,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 77:5,corrupt_text,I saw seven rivers on the earth larger than all the rivers: one of them coming from the west pours its waters into the Great Sea.,Charles marks corrupt text: west,,,,,,,west,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 77:7,restored_text; interpolations,"And the remaining four come forth on the side of the north to their own sea, two of them to the Erythraean Sea, and two into the Great Sea and discharge themselves there and some say: into the desert.",Charles restored text: two of them to; Charles marks interpolation: and some say: into the desert,,,two of them to,and some say: into the desert,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 78:6,interpolations,And when the moon rises one-fourteenth part appears in the heaven: the light becomes full in her: on the fourteenth day she accomplishes her light.,Charles marks interpolation: the light becomes full in her,,,,the light becomes full in her,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 78:7,supplied_text,"And fifteen parts of light are transferred to her till the fifteenth day (when) her light is accomplished, according to the sign of the year, and she becomes fifteen parts, and the moon grows by (the addition of) fourteenth parts.",Charles supplied text: when; the addition of,,,,,when; the addition of,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 78:8,supplied_text,"And in her waning (the moon) decreases on the first day to fourteen parts of her light, on the second to thirteen parts of light, on the third to twelve, on the fourth to eleven, on the fifth to ten, on the sixth to nine, on the seventh to eight, on the eighth to seven, on the ninth to six, on the tenth to five, on the eleventh to four, on the twelfth to three, on the thirteenth to two, on the fourteenth to the half of a seventh, and all her remaining light disappears wholly on the fifteenth.",Charles supplied text: the moon,,,,,the moon,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 78:11,interpolations,"During all the period during which the moon is growing in her light, she is transferring it to herself when opposite to the sun during fourteen days her light is accomplished in the heaven, and when she is illumined throughout, her light is accomplished in the heaven.",Charles marks interpolation: her light is accomplished in the heaven,,,,her light is accomplished in the heaven,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 78:16,supplied_text,"And in the time of her going out she appears for three months (of) thirty days each, and for three months she appears (of) twenty-nine each.",Charles supplied text: of; of,,,,,of; of,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 79:4,restored_text; supplied_text,"And the waning which takes place in the first portal in its season, till one hundred and seventy-seven days are accomplished: reckoned according to weeks, twenty-five (weeks) and two days.",Charles restored text: And the waning; Charles supplied text: weeks,,,And the waning,,weeks,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 80:2,supplied_text,"And in the days of the sinners the years shall be shortened, And their seed shall be tardy on their lands and fields, And all things on the earth shall alter, And shall not appear in their time: And the rain shall be kept back, And the heaven shall withhold (it).",Charles supplied text: it,,,,,it,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 80:5,interpolations; emended_text; corrupt_text,And in those days the sun shall be seen and he shall journey in the evening on the extremity of the great chariot in the west And shall shine more brightly than accords with the order of light.,Charles marks interpolation: And in those days the =sun= shall be seen and he shall journey in the =evening= †on the extremity of the great chariot in† the west; Charles emended text: sun; evening; Charles marks corrupt text: on the extremity of the great chariot in,,,,And in those days the =sun= shall be seen and he shall journey in the =evening= †on the extremity of the great chariot in† the west,,sun; evening,on the extremity of the great chariot in,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 80:6,supplied_text,"And many chiefs of the stars shall transgress the order (prescribed); And these shall alter their orbits and tasks, And not appear at the seasons prescribed to them.",Charles supplied text: prescribed,,,,,prescribed,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 80:7,interpolations,"And the whole order of the stars shall be concealed from the sinners, And the thoughts of those on the earth shall err concerning them, And they shall be altered from all their ways, Yea, they shall err and take them to be gods.",Charles marks interpolation: And they shall be altered from all their ways,,,,And they shall be altered from all their ways,,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 81:2,supplied_text,"And I observed the heavenly tablets, and read everything which was written (thereon) and understood everything, and read the book of all the deeds of mankind, and of all the children of flesh that shall be upon the earth to the remotest generations.",Charles supplied text: thereon,,,,,thereon,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 81:6,supplied_text,"One year we will leave thee with thy son, till thou givest thy (last) commands, that thou mayest teach thy children and record (it) for them, and testify to all thy children; and in the second year they shall take thee from their midst.",Charles supplied text: last; it,,,,,last; it,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 82:1,supplied_text,"And now, my son Methuselah, all these things I am recounting to thee and writing down for thee, and I have revealed to thee everything, and given thee books concerning all these: so preserve, my son Methuselah, the books from thy father’s hand, and (see) that thou deliver them to the generations of the world.",Charles supplied text: see,,,,,see,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 82:2,interpolations; supplied_text,"I have given wisdom to thee and to thy children, And thy children that shall be to thee, That they may give it to their children for generations, This wisdom (namely) that passeth their thought.",Charles marks interpolation: And thy children that shall be to thee; Charles supplied text: namely,,,,And thy children that shall be to thee,namely,,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 82:5,emended_text,"Owing to them men shall be at fault and not reckon them in the whole reckoning of the year: yea, men shall be at fault, and not recognize them accurately.",Charles emended text: whole reckoning of the year,,,,,,whole reckoning of the year,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 82:6,supplied_text,"For they belong to the reckoning of the year and are truly recorded (thereon) for ever, one in the first portal and one in the third, and one in the fourth and one in the sixth, and the year is completed in three hundred and sixty-four days.",Charles supplied text: thereon,,,,,thereon,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 82:7,emended_text,"And the account thereof is accurate and the recorded reckoning thereof exact; for the luminaries, and months and festivals, and years and days, has Uriel shown and revealed to me, to whom the Lord of the whole creation of the world has subjected the host of heaven.",Charles emended text: to whom; subjected,,,,,,to whom; subjected,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 82:10,emended_text,"And these are the names of those who lead them, who watch that they enter at their times, in their orders, in their seasons, in their months, in their periods of dominion, and in their positions.",Charles emended text: that they,,,,,,that they,,Review Charles editorial marker before using this wording in an appendix.
1 Enoch 82:11,supplied_text,Their four leaders who divide the four parts of the year enter first; and after them the twelve leaders of the orders who divide the months; and for the three hundred and sixty (days) there are heads over thousands who divide the days; and for the four intercalary days there are the leaders which sunder the four parts of the year.,Charles supplied text: days,,,,,days,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 82:15,corrupt_text,"In the beginning of the year Melkejâl rises first and rules, who is named Tam’âinî, and sun and all the days of his dominion whilst he bears rule are ninety-one days.","Charles marks corrupt text: Tam’âinî, and sun",,,,,,,"Tam’âinî, and sun",Review Charles editorial marker before using this wording in an appendix.
1 Enoch 82:17,supplied_text,"And these are the names of the leaders which are under them: Berka’êl, Zêlebs’êl, and another who is added a head of a thousand, called Hîlûjâsěph: and the days of the dominion of this (leader) are at an end.",Charles supplied text: leader,,,,,leader,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 82:19,supplied_text,"And these are the signs of (his) days on the earth: glowing heat and dryness, and the trees ripen their fruits and produce all their fruits ripe and ready, and the sheep pair and become pregnant, and all the fruits of the earth are gathered in, and everything that is in the fields, and the winepress: these things take place in the days of his dominion.",Charles supplied text: his,,,,,his,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 82:20,supplied_text,"These are the names, and the orders, and the leaders of those heads of thousands: Gîdâ’îjal, Kê’êl, and Hê’êl, and the name of the head of a thousand which is added to them, Asfâ’êl’: and the days of his dominion are at an end. THE DREAM-VISIONS. (LXXXIII-XC.)",Charles supplied text: LXXXIII-XC.,,,,,LXXXIII-XC.,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 83:2,supplied_text,"Two visions I saw before I took a wife, and the one was quite unlike the other: the first when I was learning to write, the second before I took thy mother, (when) I saw a terrible vision. And regarding them I prayed to the Lord.",Charles supplied text: when,,,,,when,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 83:3,supplied_text,"I had laid me down in the house of my grandfather Mahalalel, (when) I saw in a vision how the heaven collapsed and was borne off and fell to the earth.",Charles supplied text: when,,,,,when,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 83:5,supplied_text,"And thereupon a word fell into my mouth, and I lifted up (my voice) to cry aloud, and said: ‘The earth is destroyed.’",Charles supplied text: my voice,,,,,my voice,,,Review supplied wording against Ethiopic base and any extant witnesses.
1 Enoch 83:11,corrupt_text,"And when I had gone forth below and seen the heaven, and the sun rising in the east, and the moon setting in the west, and a few stars, and the whole earth, and everything as He had known it in the beginning, then I blessed the Lord of judgement and extolled Him because He had made the sun to go forth from the windows of the east, and he ascended and rose on the face of the heaven, and set out and kept traversing the path shown unto him.",Charles marks corrupt text: He had known,,,,,,,He had known,Review Charles editorial marker before using this wording in an appendix.
