book_code,book_name,canonical_order,section,intro_title,traditional_author,authorship_basis,jesus_or_nt_attribution,composition_date,mt_timeline,lxx_timeline,historical_setting,purpose_theme,key_themes,outline,oldest_fragment,oldest_fragment_date,oldest_substantial_manuscript,oldest_substantial_date,oldest_complete_hebrew,oldest_complete_hebrew_date,oldest_complete_greek,oldest_complete_greek_date,oldest_external_reference,oldest_external_reference_author,oldest_external_reference_date,textual_notes,conservative_notes,source_notes,status
1PE,1 Peter,60,NT,1 Peter,Peter the apostle,"The opening identifies Peter, and the church has always received 1 Peter as Petrine.","The letter's self-identification and pastoral authority fit Peter speaking through Silvanus.",early 60s AD,Not applicable,Not applicable,"Circular letter to suffering believers in Asia Minor.","To strengthen believers under suffering with living hope, holy conduct, and Christ's example.","suffering; holiness; hope; exile; Christ's example","Living hope and holiness 1-2; suffering and witness 3-4; shepherding and humility 5.","Papyrus 72 contains 1 Peter",3rd-4th century AD,"Papyrus 72 is the earliest substantial 1 Peter witness",3rd-4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Vaticanus preserve complete Greek 1 Peter",4th century AD,"Likely echoed by Polycarp",Polycarp,early 2nd century AD,"1 Peter is well attested and often discussed for its relation to the LXX in OT quotations.","This edition receives 1 Peter as apostolic Petrine instruction to suffering exiles.","P72; Polycarp.",draft
2PE,2 Peter,61,NT,2 Peter,Peter the apostle,"The opening identifies Simon Peter; conservative scholarship receives the letter as genuinely Petrine despite its later and sparser attestation.","2 Peter 1 and 3 present apostolic self-consciousness, eyewitness claim, and relation to Paul.",mid-60s AD,Not applicable,Not applicable,"Final apostolic warning against false teachers and unbelief concerning Christ's return.","To call believers to growth, guard against corruption, and affirm the certainty of the Lord's coming.","knowledge; holiness; false teachers; second coming; Scripture","Growth and calling 1; false teachers 2; day of the Lord 3.","Papyrus 72 contains 2 Peter",3rd-4th century AD,"Papyrus 72 is the earliest substantial 2 Peter witness",3rd-4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Vaticanus preserve complete Greek 2 Peter",4th century AD,"Earliest clear attestation in Origen",Origen,3rd century AD,"2 Peter has the sparsest early external attestation among NT books, but its textual preservation in the received tradition is secure.","This edition receives 2 Peter as genuinely Petrine and does not accept late pseudonymity as compatible with the book's self-witness.","P72; Origen; 2 Peter introductions.",draft
1JN,1 John,62,NT,1 John,John the apostle,"Early church testimony and the close relation to the Fourth Gospel support Johannine apostolic authorship.","The language, theology, and pastoral voice align with the apostle John and the Johannine circle under his oversight.",late 1st century AD,Not applicable,Not applicable,"Pastoral doctrinal tract combating false claims while assuring believers of eternal life.","To strengthen assurance, define true fellowship, and expose antichrist error.","assurance; fellowship; love; truth; incarnation; obedience","Tests of life and fellowship 1-5.","Papyrus 9 and Papyrus 74 preserve early 1 John material",3rd-7th century AD,"Papyrus 74 and major uncials preserve substantial text",3rd-4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Vaticanus preserve complete Greek 1 John",4th century AD,"Likely echoed by Polycarp",Polycarp,early 2nd century AD,"1 John is central in Christological and assurance passages; textually it is well preserved overall.","This edition receives 1 John as apostolic Johannine testimony against early christological error.","Polycarp; papyri catalogues.",draft
2JN,2 John,63,NT,2 John,John the apostle,"Early church testimony attributes 2 John to the apostle or the elder John identified with him in conservative reading.","Its style and content closely cohere with 1 John and the Fourth Gospel.",late 1st century AD,Not applicable,Not applicable,"Short letter warning against deceivers and urging fidelity to truth and love.","To guard the church from false teachers while maintaining Christian love.","truth; love; doctrine; deception","Greeting 1-3; walking in truth and love 4-6; warning against deceivers 7-11; closing 12-13.","Papyrus 74 preserves 2 John",7th century AD,"Major uncials preserve the earliest substantial 2 John text",4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Vaticanus preserve complete Greek 2 John",4th century AD,"Likely attested by Irenaeus",Irenaeus,late 2nd century AD,"2 John is short and less heavily witnessed in papyri, but secure in the main Greek tradition.","This edition receives 2 John as genuinely Johannine and apostolic.","Irenaeus; major uncials; papyri catalogues.",draft
3JN,3 John,64,NT,3 John,John the apostle,"Early church testimony attributes 3 John to the apostle or the elder John identified with him in conservative reading.","Its language and themes closely cohere with 1 and 2 John.",late 1st century AD,Not applicable,Not applicable,"Brief personal letter concerning hospitality, truth, and Diotrephes's arrogance.","To commend faithfulness, rebuke pride, and support gospel workers.","truth; hospitality; authority; faithfulness","Greeting and praise 1-8; Diotrephes and Demetrius 9-12; closing 13-15.","Papyrus 74 preserves 3 John",7th century AD,"Major uncials preserve the earliest substantial 3 John text",4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Vaticanus preserve complete Greek 3 John",4th century AD,"Likely attested by later 2nd-century fathers",Irenaeus or later witnesses,late 2nd century AD,"3 John is short and relatively thinly attested in early papyri, but stable in the main textual stream.","This edition receives 3 John as authentic Johannine apostolic correspondence.","Major uncials; papyri catalogues.",draft
JUD,Jude,65,NT,Jude,Jude the brother of James and servant of Jesus Christ,"The opening identifies Jude, and conservative scholarship receives him as Jude the brother of James and half-brother of the Lord.","The self-designation fits the known family of Jesus without claiming apostolic office directly.",mid to late 1st century AD,Not applicable,Not applicable,"Short urgent letter warning against ungodly infiltrators and calling believers to contend for the faith.","To defend the once-for-all delivered faith and expose libertine false teachers.","false teachers; judgment; perseverance; contend for the faith","Greeting and purpose 1-4; examples of judgment 5-16; exhortation and doxology 17-25.","Papyrus 72 contains Jude",3rd-4th century AD,"Papyrus 72 is the earliest substantial Jude witness",3rd-4th century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Vaticanus preserve complete Greek Jude",4th century AD,"Likely known in later 2nd-century fathers",Clement of Alexandria or Tertullian,late 2nd century AD,"Jude is important for its use of Jewish traditional material and its close relation to 2 Peter.","This edition receives Jude as authentic by the brother of James and reads his use of traditional material under inspiration.","P72; Clement of Alexandria; Jude introductions.",draft
REV,Revelation,66,NT,Revelation,John the apostle,"The book names John, and conservative scholarship commonly receives this as the apostle John writing from Patmos.","Revelation 1:1-4 and 22:8 self-present a prophetic eyewitness named John; early church testimony often supports apostolic authorship.",AD 95-96 in common conservative dating,Not applicable,Not applicable,"Apocalyptic prophecy to seven churches in Asia under Roman pressure.","To unveil Jesus Christ in His present reign, covenant judgments, final victory, and the consummation of all things.","apocalypse; sovereignty; judgment; perseverance; kingdom; new creation","Vision of Christ and churches 1-3; heavenly throne and judgments 4-19; millennial and final victory 20; new creation 21-22.","Papyrus 98 and Papyrus 47 preserve early Revelation material",2nd-3rd century AD,"Papyrus 47 is the earliest substantial Revelation witness",3rd century AD,"No complete Hebrew original survives",n/a,"Codex Sinaiticus and Codex Alexandrinus preserve complete Greek Revelation",4th-5th century AD,"Early attestation by Justin Martyr and Irenaeus",Justin Martyr,mid 2nd century AD,"Revelation is text-critically important because of its distinctive manuscript profile and dense reuse of OT language.","This edition receives Revelation as genuine apostolic prophecy by John and rejects approaches that reduce it to merely coded political literature devoid of predictive revelation.","P47; Justin Martyr; Irenaeus; Revelation introductions.",draft
TOB,Tobit,67,Apocrypha,Tobit,Traditionally Tobit or a later inspired narrator in the Jewish diaspora tradition,"The book presents itself as family history from the Assyrian exile setting; exact human authorship is uncertain.","No NT attribution identifies a human writer; this edition treats Tobit as deuterocanonical/apocryphal literature included with the Brenton corpus, not as part of the Hebrew canon.",Hellenistic period composition using earlier story traditions,"MT timeline not applicable; no complete Hebrew canonical line exists, though Hebrew and Aramaic fragments survive at Qumran.","The Greek tradition is primary for the full book and is the form transmitted in Brenton LXX.","Diaspora family narrative centered on Tobit, Tobias, Sarah, Raphael, almsgiving, and providential deliverance.","To commend piety, almsgiving, marriage faithfulness, and trust in God's providence in exile.","diaspora piety; angelic aid; almsgiving; marriage; providence","Tobit's trial 1-3; Tobias's journey 4-11; praise and conclusion 12-14.","Qumran Aramaic and Hebrew Tobit fragments",2nd-1st centuries BC,"Qumran fragments provide the earliest surviving Tobit evidence",Second Temple period,"No complete Hebrew witness survives",n/a,"Codex Sinaiticus preserves a principal Greek text of Tobit",4th century AD,"Use in early Jewish and Christian literature",Early Christian fathers,2nd-4th centuries AD,"Tobit exists in multiple Greek forms, and Qumran fragments are important for evaluating the longer and shorter recensions.","Included here as part of the public-domain Brenton corpus and clearly distinguished from the Hebrew canon in intro metadata.","Qumran Tobit studies; Sinaiticus Tobit tradition; standard introductions.",draft
JDT,Judith,68,Apocrypha,Judith,Unknown Jewish author,"The book is anonymous and often read as edifying historical romance or compressed national story in Jewish tradition.","No NT attribution identifies a human writer; this edition includes Judith as part of the Brenton/Apocrypha corpus.",Hellenistic period,Not applicable,"The Greek tradition is primary for the full surviving book, though some later Hebrew forms exist.","Narrative of Judith's courageous deliverance of her people from foreign threat.","To celebrate zeal, courage, covenant loyalty, and God's deliverance through a faithful woman.","deliverance; courage; covenant zeal; prayer; reversal","Crisis and siege 1-7; Judith's intervention 8-13; deliverance and praise 14-16.","No early Hebrew original survives; Greek witness is primary",n/a,"Greek manuscript tradition is the main substantial witness",Hellenistic and later,n/a,n/a,"Codex Vaticanus and Alexandrinus preserve Judith in Greek",4th-5th century AD,"Used in patristic literature",Church fathers,2nd-4th centuries AD,"Judith's historical framework is difficult to harmonize in detail, and the Greek textual tradition is the central witness for the book.","Included as apocryphal/deuterocanonical material in the Brenton corpus, not as part of the Hebrew canon.","Standard introductions; major Greek codices.",draft
WIS,Wisdom,69,Apocrypha,Wisdom,Traditionally Solomon in literary voice; actually anonymous Jewish wisdom author,"The book speaks in Solomonic voice, but most scholarship sees an anonymous Jewish author writing in Greek.","No NT attribution identifies the human writer; the book is included here as part of the Brenton/Apocrypha corpus.",late 1st century BC,Not applicable,"Greek is the original language and the primary textual form.","Hellenistic Jewish wisdom work, likely from Alexandria, exalting righteousness, wisdom, and God's rule in history.","To commend divine wisdom, righteousness, and hope beyond death in a Hellenistic setting.","wisdom; righteousness; immortality; exodus typology; idolatry critique","Wisdom and righteous hope 1-5; praise of wisdom 6-9; wisdom in history 10-19.","No Hebrew original is known",n/a,"Greek text is primary and original",Hellenistic period,n/a,n/a,"Codex Vaticanus and Alexandrinus preserve Greek Wisdom",4th-5th century AD,"Used by early Christian writers",Church fathers,2nd-4th centuries AD,"Because Greek is original, textual work centers on the Greek tradition rather than MT/LXX comparison.","Included as Greek Jewish wisdom literature within the Brenton corpus, with its non-Hebrew-canonical status made explicit.","Standard introductions; codex catalogues.",draft
SIR,Sirach,70,Apocrypha,Sirach,Jesus son of Sirach; translated by his grandson,"The prologue identifies the translator and points back to Jesus ben Sirach as the original author.","No NT attribution identifies the writer; the work is included here as part of the Brenton/Apocrypha corpus.",early 2nd century BC,"Hebrew witnesses exist in part, though the book circulated widely in Greek through the translator's version.","The Greek translation by the grandson is the principal full form used in the LXX tradition.","Extended wisdom instruction combining practical, moral, and covenantal teaching with praise of Israel's fathers.","To teach wisdom, fear of the Lord, and faithful covenant life in a changing Hellenistic world.","wisdom; fear of the Lord; ethics; praise of fathers; law","Instruction and ethics 1-43; praise of the fathers 44-50; closing prayer and colophon 51.","Hebrew Sirach fragments from Cairo Geniza and other finds; Greek translator's prologue",2nd century BC onward,"Hebrew fragments are substantial but partial; Greek remains the principal full witness",Second Temple and medieval periods,"No complete ancient Hebrew witness survives",n/a,"Codex Vaticanus and Alexandrinus preserve Greek Sirach",4th-5th century AD,"Known and used by early Jewish and Christian writers",Early Christian fathers,2nd-4th centuries AD,"Sirach is important because partial Hebrew survives, allowing comparison with the Greek translation in many places.","Included here as Brenton Apocrypha material, with its partial Hebrew evidence noted but its non-Hebrew-canonical status maintained.","Translator's prologue; Hebrew Sirach studies; codex catalogues.",draft
BAR,Baruch,71,Apocrypha,Baruch,Attributed to Baruch in the book's frame; exact composition history debated,"The work presents itself in Baruch's name, but the final literary history is complex.","No NT attribution identifies the human writer; this edition includes Baruch as part of the Brenton/Apocrypha corpus.",exilic frame; likely later composition history,"No secure full Hebrew original survives for the whole book.","The Greek tradition is the principal full witness.","Exilic-style confession, wisdom, and consolation material linked to Jeremiah's circle.","To call the exiles to confession, wisdom, and hope in God's mercy.","confession; wisdom; exile; consolation; Jerusalem","Confession and prayer 1-3; wisdom poem 3-4; consolation 4-5.","No early full Hebrew witness survives",n/a,"Greek tradition is the principal substantial witness",Hellenistic and later,n/a,n/a,"Codex Vaticanus and Alexandrinus preserve Greek Baruch",4th-5th century AD,"Used in later Christian tradition",Church fathers,2nd-4th centuries AD,"Baruch is transmitted in Greek with important ties to Jeremiah material and to the Letter of Jeremiah in some traditions.","Included here as part of the Brenton Apocrypha and clearly separated from the Hebrew canon.","Standard introductions; major codices.",draft
LJE,Letter of Jeremiah,72,Apocrypha,Letter of Jeremiah,Attributed to Jeremiah in literary frame; exact human authorship uncertain,"The superscription links it with Jeremiah, but the work's precise literary history is debated.","No NT attribution identifies the human writer; it is included here as part of the Brenton Apocrypha corpus.",Hellenistic period or earlier tradition,Not applicable,"Greek is the principal full witness, though some Semitic background has been proposed.","Polemic letter against idolatry framed as warning to exiles.","To expose the folly of idols and strengthen covenant faithfulness in exile.","idolatry critique; exile; polemic; fidelity","Single sustained anti-idolatry discourse.","No secure full Hebrew witness survives",n/a,"Greek tradition is the principal substantial witness",Hellenistic and later,n/a,n/a,"Codex Vaticanus and Alexandrinus preserve the Greek Letter of Jeremiah",4th-5th century AD,"Used in later Christian tradition",Church fathers,2nd-4th centuries AD,"Often transmitted with Baruch; textual handling depends on the Greek tradition.","Included here as apocryphal material attached to the Brenton corpus.","Standard introductions; major codices.",draft
SUS,Susanna,73,Apocrypha,Susanna,Attached to Greek Daniel tradition,"The story survives in the Greek Daniel tradition rather than the Hebrew canon.","No NT attribution identifies a human writer; included here as a Greek Daniel addition in the Brenton corpus.",Hellenistic period,Not applicable,"Greek tradition is primary; this is one of the additions to Daniel preserved in the LXX stream.","Court tale of Susanna's vindication through Daniel's wisdom.","To vindicate chastity, expose corrupt judges, and honor God's justice.","justice; chastity; wisdom; vindication","Single narrative of accusation, trial, and vindication.","No early Hebrew original survives",n/a,"Greek Daniel traditions are the primary witnesses",Hellenistic and later,n/a,n/a,"Codex Vaticanus and Alexandrinus preserve Susanna in Greek Daniel tradition",4th-5th century AD,"Used in Christian tradition with Daniel",Church fathers,2nd-4th centuries AD,"Susanna belongs to the Greek Daniel textual tradition and must be handled alongside Old Greek/Theodotionic Daniel evidence.","Included here as Greek Daniel material in the Brenton corpus, not as part of the Hebrew Daniel canon.","Greek Daniel studies; codex catalogues.",draft
BEL,Bel and the Dragon,74,Apocrypha,Bel and the Dragon,Attached to Greek Daniel tradition,"The story survives in the Greek Daniel tradition rather than the Hebrew canon.","No NT attribution identifies a human writer; included here as a Greek Daniel addition in the Brenton corpus.",Hellenistic period,Not applicable,"Greek tradition is primary and transmitted with Daniel in the LXX stream.","Narratives exposing idolatry and celebrating God's deliverance of Daniel.","To mock idols, magnify the living God, and show Daniel's vindication.","idolatry critique; deliverance; Daniel; divine power","Bel exposed; dragon destroyed; Daniel delivered.","No early Hebrew original survives",n/a,"Greek Daniel traditions are the primary witnesses",Hellenistic and later,n/a,n/a,"Codex Vaticanus and Alexandrinus preserve Bel and the Dragon in Greek Daniel tradition",4th-5th century AD,"Used in Christian Daniel tradition",Church fathers,2nd-4th centuries AD,"Bel and the Dragon belongs to the Greek Daniel textual tradition and should be read alongside Susanna and Greek Daniel forms.","Included here as Greek Daniel material in the Brenton corpus, not as part of the Hebrew Daniel canon.","Greek Daniel studies; codex catalogues.",draft
1MA,1 Maccabees,75,Apocrypha,1 Maccabees,Anonymous Jewish historian,"The author is anonymous but writes close to the events in a sober historiographic style.","No NT attribution identifies the human writer; included here as historical Apocrypha in the Brenton corpus.",late 2nd century BC,"A Hebrew original is widely believed though not fully preserved; the complete book survives in Greek.","The Greek tradition is the principal full witness for the surviving text.","Historical narrative of the Maccabean revolt and Hasmonean rise.","To recount Jewish resistance, temple restoration, and political deliverance from Seleucid oppression.","revolt; temple; covenant zeal; martyrdom; deliverance; Hasmoneans","Antiochus and revolt 1-2; Judas Maccabeus 3-9; Jonathan 9-12; Simon 13-16.","No complete Hebrew original survives",n/a,"Greek text is the principal substantial witness",Hellenistic and later,"No complete Hebrew witness survives",n/a,"Codex Alexandrinus preserves 1 Maccabees in Greek",5th century AD,"Used by Josephus",Josephus,1st century AD,"1 Maccabees is historically valuable and comparatively straightforward textually within the Greek tradition.","Included as historical Apocrypha in the Brenton corpus, not as Hebrew-canonical Scripture.","Josephus; codex catalogues; Maccabees introductions.",draft
2MA,2 Maccabees,76,Apocrypha,2 Maccabees,Epitomist of Jason of Cyrene,"The book identifies itself as an epitome of a larger work by Jason of Cyrene.","No NT attribution identifies the human writer; included here as historical Apocrypha in the Brenton corpus.",late 2nd century BC,Not applicable,"Greek is the primary surviving form.","Theological historical narrative focused on selected episodes from the Maccabean crisis, temple, martyrdom, and divine justice.","To interpret the Maccabean crisis theologically, emphasizing prayer, martyrdom, resurrection hope, and God's vindication.","martyrdom; temple; resurrection hope; divine judgment; intercession","Preface 1-2; Heliodorus to Nicanor narratives 3-15.","No complete Hebrew original survives",n/a,"Greek text is the principal substantial witness",Hellenistic and later,n/a,n/a,"Codex Alexandrinus preserves 2 Maccabees in Greek",5th century AD,"Used by later Jewish and Christian writers",Josephus and church fathers,1st-4th centuries AD,"2 Maccabees is openly selective and theological rather than a full parallel chronicle to 1 Maccabees.","Included as Greek historical-religious Apocrypha in the Brenton corpus.","Maccabees introductions; codex catalogues.",draft
1ES,1 Esdras,77,Apocrypha,1 Esdras,Anonymous compiler of Greek Ezra material,"The book is an anonymous Greek retelling/arrangement of material parallel to Chronicles-Ezra-Nehemiah plus the Three Guards episode.","No NT attribution identifies the human writer; included here as Greek Apocrypha in the Brenton corpus.",Hellenistic period,Not applicable,"Greek is the principal textual tradition; it overlaps heavily with canonical Ezra material.","Retelling of restoration history with an added court tale about the strongest thing.","To present restoration themes and divine favor in a Greek retelling of Ezra-related history.","restoration; temple; return; wisdom; royal favor","Historical retelling 1-9 with Three Guards episode embedded.","No complete Hebrew original survives",n/a,"Greek text is the principal substantial witness",Hellenistic and later,n/a,n/a,"Codex Vaticanus and Alexandrinus preserve 1 Esdras in Greek",4th-5th century AD,"Used by Josephus in places",Josephus,1st century AD,"1 Esdras is text-critically important because it parallels canonical Ezra material and can preserve alternate Greek forms.","Included here as Greek Apocrypha and useful for comparison with Ezra-Nehemiah.","Josephus; codex catalogues; Ezra/Esdras studies.",draft
MAN,Prayer of Manasseh,78,Apocrypha,Prayer of Manasseh,Anonymous liturgical writer; framed in Manasseh's voice,"The prayer is transmitted as Manasseh's penitential prayer, though its literary history is uncertain.","No NT attribution identifies the human writer; included here as liturgical Apocrypha in the Brenton corpus.",Hellenistic or later,Not applicable,"Greek is the principal widely transmitted form.","Short penitential prayer framed by 2 Chronicles 33's notice about Manasseh's prayer.","To model repentance, confession, and appeal to divine mercy.","repentance; mercy; confession; humility","Single penitential prayer.","No complete Hebrew original survives",n/a,"Greek text is the principal substantial witness",late antiquity,n/a,n/a,"Greek and later liturgical traditions preserve the prayer",late antique and medieval periods,"Used in Christian liturgical and devotional tradition",Church tradition,late antique and medieval,"The prayer is brief and textually simple compared with larger apocryphal books.","Included here as devotional Apocrypha in the Brenton corpus.","Prayer of Manasseh introductions; liturgical tradition studies.",draft
3MA,3 Maccabees,79,Apocrypha,3 Maccabees,Anonymous Hellenistic Jewish author,"The author is anonymous and writes in Greek about persecution under Ptolemaic rule.","No NT attribution identifies the human writer; included here as Greek Apocrypha in the Brenton corpus.",Hellenistic period,Not applicable,"Greek is the original and principal form.","Diaspora narrative of threatened persecution and divine deliverance in Egypt.","To encourage Jews under pressure by recounting God's deliverance from royal oppression.","diaspora; persecution; deliverance; prayer; reversal","Royal threat 1-4; divine deliverance 5-7.","No Hebrew original is known",n/a,"Greek text is the principal substantial witness",Hellenistic and later,n/a,n/a,"Codex Alexandrinus preserves 3 Maccabees in Greek",5th century AD,"Used in later Eastern Christian tradition",Later church tradition,late antique and medieval,"3 Maccabees is Greek Jewish literature distinct from the Hasmonean history of 1-2 Maccabees.","Included here as Greek Apocrypha in the Brenton corpus.","3 Maccabees introductions; codex catalogues.",draft
4MA,4 Maccabees,80,Apocrypha,4 Maccabees,Anonymous Hellenistic Jewish philosopher-author,"The work is anonymous and reads as a philosophical discourse using martyr narratives.","No NT attribution identifies the human writer; included here as Greek Apocrypha in the Brenton corpus.",1st century AD or slightly earlier/later,Not applicable,"Greek is the original and principal form.","Philosophical-religious discourse on reason, law, passion, and martyrdom.","To argue that devout reason governs the passions, illustrated by martyr examples from the Maccabean era.","reason; martyrdom; law; virtue; endurance","Philosophical thesis 1-3; martyr examples 4-18.","No Hebrew original is known",n/a,"Greek text is the principal substantial witness",Roman period,n/a,n/a,"Codex Alexandrinus preserves 4 Maccabees in Greek appendix tradition",5th century AD,"Used in later Christian moral reflection",Church tradition,late antique and later,"4 Maccabees is philosophically distinct from 1-2 Maccabees and should be identified clearly as later Greek Jewish literature.","Included here as Greek Apocrypha in the Brenton corpus.","4 Maccabees introductions; codex catalogues.",draft
