ref,book_name,chapter,verse,priority_score,importance,category,fresh_translation,mt_translation,brenton_translation,fresh_mt_ratio,fresh_brenton_ratio
Leviticus 13:15,Leviticus,13,15,0,none,different_from_both,And the priest shall inspect the healthy flesh and pronounce him unclean. The healthy flesh is unclean. It is skin-disease.,"And the priest shall see the raw flesh, and pronounce him to be unclean: for the raw flesh is unclean: it is a leprosy.","And the priest shall look upon the sound flesh, and the sound flesh shall prove him to be unclean; for it is unclean, it is a leprosy.",0.783,0.600
Numbers 3:19,Numbers,3,19,0,none,different_from_both,"And the sons of Kohath by their clans: Amram and Izehar, Hebron and Uzziel.","And the sons of Kohath by their families; Amram, and Izehar, Hebron, and Uzziel.","and the sons of Caath according to their families; Amram and Issaar, Chebron and Oziel:",0.939,0.756
Deuteronomy 16:21,Deuteronomy,16,21,0,none,different_from_both,"You shall not plant for yourself a grove, any tree, beside the altar of the Lord your God that you make for yourself.","You shall not plant you a grove of any trees near unto the altar of the LORD your God, which you shall make you.",Thou shalt not plant for thyself a grove; thou shalt not plant for thyself any tree near the altar of thy God.,0.786,0.604
1 Samuel 12:8,1 Samuel,12,8,0,none,different_from_both,"When Jacob and his sons entered into Egypt, and Egypt humbled them, our fathers cried out to the Lord, and the Lord sent Moses and Aaron and brought our fathers out of Egypt and settled them in this place.","When Jacob was come into Egypt, and your fathers cried unto the LORD, then the LORD sent Moses and Aaron, which brought forth your fathers out of Egypt, and made them dwell in this place.","When Jacob and his sons went into Egypt, and Egypt humbled them, then our fathers cried to the Lord, and the Lord sent Moses and Aaron; and they brought our fathers out of Egypt, and he made them to dwell in this place.",0.804,0.623
Deuteronomy 32:9,Deuteronomy,32,9,0,none,different_from_both,"And the Lord's portion became his people, Jacob, the measuring line of his inheritance, Israel.",For the LORD's portion is his people; Jacob is the lot of his inheritance.,"And his people Jacob became the portion of the Lord, Israel was the line of his inheritance.",0.758,0.578
Ezekiel 36:19,Ezekiel,36,19,0,none,different_from_both,And I scattered them among nations and winnowed them into lands; according to their way and according to their sin I judged them.,"And I scattered them among the heathen, and they were dispersed through the countries: according to their way and according to their doings I judged them.","and I dispersed them among the nations, and utterly scattered them through the countries: I judged them according to their way and according to their sin.",0.791,0.612
1 Kings 18:24,1 Kings,18,24,0,none,different_from_both,"And call aloud on the name of your gods, and I will call on the name of the Lord my God, and the god who answers by fire, he is God. And all the people answered and said, Good is the word that you spoke.","And call all of you on the name of your gods, and I will call on the name of the LORD: and the God that answers by fire, let him be God. And all the people answered and said, It is well spoken.","And do ye call loudly on the name of your gods, and I will call on the name of the Lord my God, and it shall come to pass that the God who shall answer by fire, he is God. And all the people answered and said, The word which thou hast spoken is good.",0.854,0.676
Numbers 27:8,Numbers,27,8,0,none,different_from_both,"And you shall speak to the sons of Israel, saying, If a man dies and has no son, you shall put his inheritance upon his daughter.","And you shall speak unto the children of Israel, saying, If a man die, and have no son, then all of you shall cause his inheritance to pass unto his daughter.","If a man die, and have no son, ye shall assign his inheritance to his daughter.",0.835,0.657
1 Chronicles 4:5,1 Chronicles,4,5,0,none,different_from_both,"And to Ashur father of Tekoa were two wives, Helah and Naarah.","And Ashur the father of Tekoa had two wives, Helah and Naarah.","And Asur the father of Thecoe had two wives, Aoda and Thoada.",0.883,0.706
Ezekiel 37:17,Ezekiel,37,17,0,none,different_from_both,"And join them one to another for yourself into one rod, to bind them, and they will be in your hand.",And join them one to another into one stick; and they shall become one in yours hand.,"And thou shalt join them together for thyself, so as that they should bind themselves into one stick; and they shall be in thine hand.",0.756,0.579
Nehemiah 13:28,Nehemiah,13,28,0,none,different_from_both,"And from sons of Joiada, of Eliashib the great priest, was son-in-law of Sanballat the Horonite, and I drove him out from me.","And one of the sons of Joiada, the son of Eliashib the high priest, was son in law to Sanballat the Horonite: therefore I chased him from me.","and Elisub the high priest, one of the sons of Joada, being son-in-law of Sanaballat the Uranite, I chased him away from me.",0.791,0.614
1 Samuel 11:1,1 Samuel,11,1,0,none,different_from_both,"And it came to be as after a month, Nahash the Ammonite went up and camped against Jabesh Gilead, and all the men of Jabesh said to Nahash the Ammonite, Make a covenant with us, and we will serve you.","Then Nahash the Ammonite came up, and encamped against Jabeshgilead: and all the men of Jabesh said unto Nahash, Make a covenant with us, and we will serve you.","And it came to pass about a month after this, that Naas the Ammanite went up, and encamped against Jabis Galaad: and all the men of Jabis said to Naas the Ammanite, Make a covenant with us, and we will serve thee.",0.834,0.657
Leviticus 8:18,Leviticus,8,18,0,none,different_from_both,"And Moses brought near the ram for whole burnt offering, and Aaron and his sons laid their hands on the head of the ram.",And he brought the ram for the burnt offering: and Aaron and his sons laid their hands upon the head of the ram.,"And Moses brought near the ram for a whole-burnt-offering, and Aaron and his sons laid their hands on the head of the ram. And Moses slew the ram: and Moses poured the blood on the altar round about.",0.930,0.754
Ruth 3:1,Ruth,3,1,0,none,different_from_both,"And Naomi her mother-in-law said to her, Daughter, shall I not seek rest for you, so that it may be well with you?","Then Naomi her mother in law said unto her, My daughter, shall I not seek rest for you, that it may be well with you?","And she lodged with her mother-in-law: and Noemin her mother-in-law said to her, My daughter, shall I not seek rest for thee, that it may be well with thee?",0.942,0.766
2 Samuel 24:1,2 Samuel,24,1,0,none,different_from_both,"And again the anger of the Lord burned in Israel, and he shook David among them, saying, Go, number Israel and Judah.","And again the anger of the LORD was kindled against Israel, and he moved David against them to say, Go, number Israel and Judah.","And the Lord caused his anger to burn forth again in Israel, and Satan stirred up David against them, saying, Go, number Israel and Juda.",0.839,0.664
Numbers 24:21,Numbers,24,21,0,none,different_from_both,"And seeing the Kenite and taking up his oracle, he said: Strong is your dwelling-place, and if you set your nest in the rock,","And he looked on the Kenites, and took up his parable, and said, Strong is your dwelling place, and you put your nest in a rock.","And having seen the Kenite, he took up his parable and said, Thy dwelling-place is strong; yet though thou shouldest put thy nest in a rock,",0.836,0.661
1 Chronicles 23:8,1 Chronicles,23,8,0,none,different_from_both,"Sons of Laadan: chief Jehiel, and Zetham, and Joel, three.","The sons of Laadan; the chief was Jehiel, and Zetham, and Joel, three.","The sons of Edan were Jeiel, the chief, and Zethan, and Joel, three.",0.898,0.724
Deuteronomy 26:1,Deuteronomy,26,1,0,none,different_from_both,"And it shall be, if you enter into the land that the Lord your God gives you as an inheritance and inherit it and dwell on it,","And it shall be, when you are come in unto the land which the LORD your God gives you for an inheritance, and possess it, and dwell therein;","And it shall be when thou shalt have entered into the land, which the Lord thy God gives thee to inherit it, and thou shalt have inherited it, and thou shalt have dwelt upon it,",0.800,0.626
Ezekiel 5:8,Ezekiel,5,8,0,none,different_from_both,"Therefore thus says the Lord: Behold, I am against you and will do judgment in your midst before nations.","Therefore thus says the Lord GOD; Behold, I, even I, am against you, and will execute judgments in the midst of you in the sight of the nations.","Behold, I am against thee, and I will execute judgment in the midst of thee in the sight of the nations.",0.775,0.601
Song of Solomon 4:15,Song of Solomon,4,15,0,none,different_from_both,"Spring of gardens, well of living water and rushing from Lebanon.","A fountain of gardens, a well of living waters, and streams from Lebanon.","a fountain of a garden, and a well of water springing and gurgling from Libanus.",0.812,0.638
1 Chronicles 5:15,1 Chronicles,5,15,0,none,different_from_both,"son of Abdiel son of Guni, chief of house of fathers.","Ahi the son of Abdiel, the son of Guni, chief of the house of their fathers.","who was the brother of the son of Abdiel, the son of Guni, he was chief of the house of their families.",0.823,0.649
Exodus 15:12,Exodus,15,12,0,none,different_from_both,"""You stretched out your right hand; earth swallowed them.""","You stretched out your right hand, the earth swallowed them.","Thou stretchedst forth thy right hand, the earth swallowed them up.",0.964,0.790
Numbers 9:2,Numbers,9,2,0,none,different_from_both,Tell the sons of Israel also to keep the Passover at its appointed time.,Let the children of Israel also keep the passover at his appointed season.,"Speak, and let the children of Israel keep the passover in its season.",0.806,0.633
1 Chronicles 3:3,1 Chronicles,3,3,0,none,different_from_both,"the fifth Shephatiah by Abital, the sixth Ithream by Eglah his wife.","The fifth, Shephatiah of Abital: the sixth, Ithream by Eglah his wife.","The fifth, Saphatia, the son of Abital; the sixth, Jethraam, born of Agla his wife.",0.970,0.797
Ezekiel 7:1,Ezekiel,7,1,0,none,different_from_both,"And the word of the Lord came to me, saying,","Moreover the word of the LORD came unto me, saying,","Moreover the word of the Lord came to me, saying, Also, thou, son of man, say,",0.857,0.684
Exodus 12:28,Exodus,12,28,0,none,different_from_both,And the sons of Israel went away and did just as the Lord commanded Moses and Aaron; so they did.,"And the children of Israel went away, and did as the LORD had commanded Moses and Aaron, so did they.","And the people bowed and worshipped. And the children of Israel departed and did as the Lord commanded Moses and Aaron, so did they.",0.860,0.688
Ezekiel 48:26,Ezekiel,48,26,0,none,different_from_both,"And beside border of Issachar, from east side to west side, Zebulun, one portion.","And by the border of Issachar, from the east side unto the west side, Zebulun a portion.","And from the borders of Issachar, from the eastern parts to the western, Zabulon, one.",0.864,0.692
Nehemiah 6:12,Nehemiah,6,12,0,none,different_from_both,"And I recognized, and behold, God had not sent him, but he spoke the prophecy-word against me, and Tobiah and Sanballat had hired him.","And, lo, I perceived that God had not sent him; but that he pronounced this prophecy against me: for Tobiah and Sanballat had hired him.","And I observed, and, behold, God had not sent him, for the prophecy was a fable devised against me:",0.800,0.628
Numbers 35:19,Numbers,35,19,0,none,different_from_both,"The avenger of blood, this one shall kill the murderer. When he meets him, this one shall kill him.","The revenger of blood himself shall slay the murderer: when he meet him, he shall slay him.",The avenger of blood himself shall slay the murderer: whensoever he shall meet him he shall slay him.,0.842,0.670
Haggai 2:15,Haggai,2,15,0,none,different_from_both,"And now set this on your hearts from this day and upward, before stone was set upon stone in temple of the Lord.","And now, I pray you, consider from this day and upward, from before a stone was laid upon a stone in the temple of the LORD:","And now consider, I pray you, from this day and beforetime, before they laid a stone on a stone in the temple of the Lord, what manner of men ye were.",0.783,0.612
Isaiah 37:13,Isaiah,37,13,0,none,different_from_both,"Where are kings of Hamath and Arpad and city of Sepharvaim, Hena, Ivvah?","Where is the king of Hamath, and the king of Arphad, and the king of the city of Sepharvaim, Hena, and Ivah?","Where are the kings of Emath? and where is the king of Arphath? and where is the king of the city of Eppharuaim, and of Anagugana?",0.756,0.585
Genesis 25:2,Genesis,25,2,0,none,different_from_both,And she bore to him Zimran and Jokshan and Medan and Midian and Ishbak and Shuah.,"And she bare him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah.","And she bore to him Zombran, and Jezan, and Madal, and Madiam, and Jesboc, and Soie.",0.968,0.797
1 Kings 2:21,1 Kings,2,21,0,none,different_from_both,"And she said, Let Abishag the Shunammite be given to Adonijah your brother as wife.","And she said, Let Abishag the Shunammite be given to Adonijah your brother to wife.","And she said, Let, I pray thee, Abisag the Somanite be given to Adonias thy brother to wife.",0.975,0.805
2 Samuel 2:12,2 Samuel,2,12,0,none,different_from_both,And Abner son of Ner and the servants of Ishbosheth son of Saul went out from Mahanaim to Gibeon.,"And Abner the son of Ner, and the servants of Ishbosheth the son of Saul, went out from Mahanaim to Gibeon.","And Abenner the son of Ner went forth, and the servants of Jebosthe the son of Saul, from Manaem to Gabaon.",0.960,0.790
Proverbs 27:2,Proverbs,27,2,0,none,different_from_both,"Let neighbor praise you, not your own mouth; stranger, not your own lips.","Let another man praise you, and not yours own mouth; a stranger, and not yours own lips.","Let thy neighbour, and not thine own mouth, praise thee; a stranger, and not thine own lips.",0.837,0.667
1 Chronicles 7:36,1 Chronicles,7,36,0,none,different_from_both,"Sons of Zophah: Chouchi, Harnepher, Shual, Beri, and Imrah,","The sons of Zophah; Suah, and Harnepher, and Shual, and Beri, and Imrah,","The sons of Sopha; Sue, and Arnaphar, and Suda, and Barin, and Imran,",0.790,0.621
Proverbs 6:4,Proverbs,6,4,0,none,different_from_both,"Do not give sleep to your eyes, nor slumber to your eyelids,","Give not sleep to yours eyes, nor slumber to yours eyelids.","Give not sleep to thine eyes, nor slumber with thine eyelids;",0.887,0.718
Deuteronomy 32:7,Deuteronomy,32,7,0,none,different_from_both,"Remember days of old; understand the years of generation after generation. Ask your father, and he will report to you, your elders, and they will tell you.","Remember the days of old, consider the years of many generations: ask your father, and he will show you; your elders, and they will tell you.","Remember the days of old, consider the years for past ages: ask thy father, and he shall relate to thee, thine elders, and they shall tell thee.",0.845,0.676
Genesis 31:14,Genesis,31,14,0,none,different_from_both,"And Rachel and Leah answered and said to him, Is there still a portion or inheritance for us in our father's house?","And Rachel and Leah answered and said unto him, Is there yet any portion or inheritance for us in our father's house?","And Rachel and Lea answered and said to him, Have we yet a part or inheritance in the house of our father?",0.956,0.787
Judges 8:32,Judges,8,32,0,none,different_from_both,And Gideon son of Joash died in a good old age and was buried in the tomb of Joash his father in Ephrathah of the Abiezrites.,"And Gideon the son of Joash died in a good old age, and was buried in the tomb of Joash his father, in Ophrah of the Abiezrites.","And Gedeon son of Joas died in his city, and was buried in the sepulchre of Joas his father in Ephratha of Abi-Esdri.",0.964,0.795
1 Kings 11:19,1 Kings,11,19,0,none,different_from_both,"And Hadad found favor before Pharaoh greatly, and he gave him as wife the sister of his own wife, sister of Tahpenes the elder.","And Hadad found great favour in the sight of Pharaoh, so that he gave him to wife the sister of his own wife, the sister of Tahpenes the queen.","And Ader found great favour in the sight of Pharao, and he gave him his wife's sister in marriage, the elder sister of Thekemina.",0.803,0.635
Genesis 25:3,Genesis,25,3,0,none,different_from_both,And Jokshan begot Teman and Sheba and Dedan. And sons of Dedan became Reuel and Adbeel and Asshurim and Letushim and Leummim.,"And Jokshan brings forth Sheba, and Dedan. And the sons of Dedan were Asshurim, and Letushim, and Leummim.","And Jezan begot Saba and Dedan. And the sons of Dedan were the Assurians and the Latusians, and Laomim.",0.786,0.619
Judges 11:5,Judges,11,5,0,none,different_from_both,"And it came to be when the sons of Ammon were making war with Israel, the elders of Gilead went to take Jephthah from the land of Tob.","And it was so, that when the children of Ammon made war against Israel, the elders of Gilead went to fetch Jephthah out of the land of Tob:",that the elders of Galaad went to fetch Jephthae from the land of Tob.,0.784,0.617
Leviticus 13:38,Leviticus,13,38,0,none,different_from_both,"And if a man or a woman has on the skin of the flesh bright spots, pale white bright spots,","If a man also or a woman have in the skin of their flesh bright spots, even white bright spots;","And if a man or woman should have in the skin of their flesh spots of a bright whiteness,",0.879,0.712
2 Kings 2:25,2 Kings,2,25,0,none,different_from_both,"And he went from there to Mount Carmel, and from there he returned to Samaria.","And he went from thence to mount Carmel, and from thence he returned to Samaria.","And he went thence to mount Carmel, and returned thence to Samaria.",0.961,0.794
1 Kings 22:39,1 Kings,22,39,0,none,different_from_both,"And the rest of the matters of Ahab and all that he did and the ivory house that he built and all the cities that he made, behold, are these not written in the Book of the Matters of the Days of the kings of Israel?","Now the rest of the acts of Ahab, and all that he did, and the ivory house which he made, and all the cities that he built, are they not written in the book of the chronicles of the kings of Israel?","And the rest of the acts of Achaab, and all that he did, and the ivory house which he built, and all the cities which he built, behold, are not these things written in the book of the chronicles of the kings of Israel?",0.840,0.675
Judges 20:4,Judges,20,4,0,none,different_from_both,"And the Levite man, husband of the murdered woman, answered and said, I came to Gibeah of Benjamin, I and my concubine, to lodge.","And the Levite, the husband of the woman that was slain, answered and said, I came into Gibeah that belongs to Benjamin, I and my concubine, to lodge.","And the Levite, the husband of the woman that was slain, answered and said, I and my concubine went to Gabaa of Benjamin to lodge.",0.824,0.659
Deuteronomy 20:12,Deuteronomy,20,12,0,none,different_from_both,"And if they do not obey you and make war against you, then you shall besiege it.","And if it will make no peace with you, but will make war against you, then you shall besiege it:","But if they will not hearken to thee, but wage war against thee, thou shalt invest it;",0.760,0.596
Numbers 23:5,Numbers,23,5,0,none,different_from_both,"And God put a word in Balaam's mouth and said, Returning to Balak, you shall speak thus.","And the LORD put a word in Balaam's mouth, and said, Return unto Balak, and thus you shall speak.","And God put a word into the mouth of Balaam, and said, Thou shalt return to Balac, and thus shalt thou speak.",0.852,0.688
Ezekiel 15:8,Ezekiel,15,8,0,none,different_from_both,"And I will make land desolation, because they committed offense, says the Lord.","And I will make the land desolate, because they have committed a trespass, says the Lord GOD.","And I will give up the land to ruin, because they have utterly transgressed, saith the Lord.",0.819,0.655
Nehemiah 12:15,Nehemiah,12,15,0,none,different_from_both,"to Harim, Adna; to Meraioth, Helkai;","Of Harim, Adna; of Meraioth, Helkai;","to Are, Mannas; to Marioth, Elcai;",0.938,0.774
2 Kings 10:29,2 Kings,10,29,0,none,different_from_both,"Only, from the sins of Jeroboam son of Nebat, who made Israel sin, Jehu did not turn away from after them, the golden calves in Bethel and in Dan.","Nevertheless from the sins of Jeroboam the son of Nebat, who made Israel to sin, Jehu departed not from after them, to know, the golden calves that were in Bethel, and that were in Dan.","Nevertheless Ju departed not from following the sins of Jeroboam the son of Nabat, who led Israel to sin: these were the golden heifers in Bæthel and in Dan.",0.800,0.637
Numbers 5:10,Numbers,5,10,0,none,different_from_both,And each man's holy things shall be his. Whatever a man gives to the priest shall be his.,"And every man's hallowed things shall be his: whatsoever any man gives the priest, it shall be his.","And the hallowed things of every man shall be his; and whatever man shall give any thing to the priest, the gift shall be his.",0.862,0.699
Deuteronomy 22:26,Deuteronomy,22,26,0,none,different_from_both,"And to the young woman you shall do nothing. The young woman has no sin worthy of death, because as when a man rises against his neighbor and murders his life, so is this matter,","But unto the damsel you shall do nothing; there is in the damsel no sin worthy of death: for as when a man rises against his neighbour, and slays him, even so is this matter:","And the damsel has not committed a sin worthy of death; as if a man should rise up against his neighbour, and slay him, so is this thing;",0.787,0.625
Ezekiel 48:25,Ezekiel,48,25,0,none,different_from_both,"And beside border of Simeon, from east side to west side, Issachar, one portion.","And by the border of Simeon, from the east side unto the west side, Issachar a portion.","And from the borders of Symeon, from the eastern parts to the western, Issachar, one.",0.863,0.701
2 Kings 6:28,2 Kings,6,28,0,none,different_from_both,"And the king said to her, What troubles you? And the woman said, This woman said to me, Give your son, and let us eat him today, and my son we will eat tomorrow.","And the king said unto her, What disturbs you? And she answered, This woman said unto me, Give your son, that we may eat him to day, and we will eat my son tomorrow.","And the king said to her, What is the matter with thee? And the woman said to him, This woman said to me, Give thy son, and we will eat him to-day, and we will eat my son to-morrow.",0.827,0.665
Genesis 31:46,Genesis,31,46,0,none,different_from_both,"And Jacob said to his brothers, Gather stones. And they gathered stones and made a heap, and they ate there on the heap.","And Jacob said unto his brethren, Gather stones; and they took stones, and made an heap: and they did eat there upon the heap.","And Jacob said to his brethren, Gather stones; and they gathered stones and made a heap, and ate there upon the heap; and Laban said to him, This heap witnesses between me and thee to-day.",0.886,0.725
Genesis 46:12,Genesis,46,12,0,none,different_from_both,And the sons of Judah: Er and Onan and Shallum and Perez and Zerah. And Er and Onan died in the land of Canaan. And the sons of Perez became Hezron and Jemuel.,"And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zarah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul.","And the sons of Judas; Er, and Aunan, and Selom, and Phares, and Zara: and Er and Aunan died in the land of Chanaan.",0.896,0.735
Leviticus 27:29,Leviticus,27,29,0,none,different_from_both,"And every devoted thing that is devoted from humans shall not be redeemed, but shall surely be put to death.","None devoted, which shall be devoted of men, shall be redeemed; but shall surely be put to death.","And whatever shall be dedicated of men, shall not be ransomed, but shall be surely put to death.",0.804,0.643
Joshua 13:11,Joshua,13,11,0,none,different_from_both,"and Gilead and the boundaries of Geshurites and the Maachathites, all Mount Hermon and all Bashan as far as Salcah,","And Gilead, and the border of the Geshurites and Maachathites, and all mount Hermon, and all Bashan unto Salcah;","and the region of Galaad, and the borders of the Gesirites and the Machatites, the whole mount of Aermon, and all the land of Basan to Acha.",0.851,0.691
1 Chronicles 3:20,1 Chronicles,3,20,0,none,different_from_both,"and Hashubah and Ohel and Berechiah and Hasadiah and Jushabhesed, five.","And Hashubah, and Ohel, and Berechiah, and Hasadiah, Jushabhesed, five.","And Asube, and Ool, and Barachia, and Asadia, and Asobed, five.",0.970,0.810
1 Chronicles 2:52,1 Chronicles,2,52,0,none,different_from_both,And sons of Shobal father of Kirjathjearim were Haroeh and half of the Manahethites.,"And Shobal the father of Kirjathjearim had sons; Haroeh, and half of the Manahethites.","And the sons of Sobal the father of Cariathiarim were Araa, and Æsi, and Ammanith,",0.855,0.696
Ezekiel 48:2,Ezekiel,48,2,0,none,different_from_both,"And beside border of Dan, from east side to west side, Asher, one portion.","And by the border of Dan, from the east side unto the west side, a portion for Asher.","And from the borders of Dan eastward as far as the west sea-coast, for Asser, one.",0.763,0.604
2 Kings 24:1,2 Kings,24,1,0,none,different_from_both,"In his days Nebuchadnezzar king of Babylon came up, and Joakim became his servant three years, and he turned and rebelled against him.","In his days Nebuchadnezzar king of Babylon came up, and Jehoiakim became his servant three years: then he turned and rebelled against him.","In his days went up Nabuchodonosor king of Babylon, and Joakim became his servant three years; and then he turned and revolted from him.",0.970,0.811
Genesis 10:7,Genesis,10,7,0,none,different_from_both,And sons of Cush: Sheba and Havilah and Sabtah and Raamah and Sabtechah. And sons of Raamah: Sheba and Dedan.,"And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtechah: and the sons of Raamah; Sheba, and Dedan.","And the sons of Chus, Saba, and Evila, and Sabatha, and Rhegma, and Sabathaca. And the sons of Rhegma, Saba, and Dadan.",0.959,0.800
Job 15:6,Job,15,6,0,none,different_from_both,"Your own mouth will reprove you, not I; your lips will testify against you.","Yours own mouth condemns you, and not I: yea, yours own lips testify against you.","Let thine own mouth, and not me, reprove thee: and thy lips shall testify against thee.",0.752,0.594
Isaiah 1:18,Isaiah,1,18,0,none,different_from_both,"Come and let us reason together, says the Lord. And if your sins are as scarlet, I will whiten as snow; if they are as crimson, I will whiten as wool.","Come now, and let us reason together, says the LORD: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.","And come, let us reason together, saith the Lord: and though your sins be as purple, I will make them white as snow; and though they be as scarlet, I will make them white as wool.",0.770,0.614
Judges 11:22,Judges,11,22,0,none,different_from_both,And it inherited all the border of the Amorite from Arnon to Jabbok and from the wilderness to the Jordan.,"And they possessed all the coasts of the Amorites, from Arnon even unto Jabbok, and from the wilderness even unto Jordan.","from Arnon and to Jaboc, and from the wilderness to Jordan.",0.798,0.642
Genesis 31:45,Genesis,31,45,0,none,different_from_both,And Jacob took a stone and set it up as a pillar.,"And Jacob took a stone, and set it up for a pillar.","And Jacob having taken a stone, set it up for a pillar.",0.948,0.792
Ezra 2:2,Ezra,2,2,0,none,different_from_both,"Those who came with Zerubbabel were Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mizpar, Bigvai, Rehum, and Baana. Number of men of people of Israel:","Which came with Zerubbabel: Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mizpar, Bigvai, Rehum, Baanah. The number of the men of the people of Israel:","who came with Zorobabel: Jesus, Neemias, Saraias, Reelias, Mardochæus, Balasan, Masphar, Baguai, Reum, Baana. The number of the people of Israel:",0.893,0.738
Isaiah 39:3,Isaiah,39,3,0,none,different_from_both,"And Isaiah the prophet came to king Hezekiah and said to him, What do these men say, and from where did they come to you? And Hezekiah said, From far land they came to me, from Babylon.","Then came Isaiah the prophet unto king Hezekiah, and said unto him, What said these men? and from whence came they unto you? And Hezekiah said, They are come from a far country unto me, even from Babylon.","And Esaias the prophet came to king Ezekias, and said to him, What say these men? and whence came they to thee? and Ezekias said, They are come to me from a land afar off, from Babylon.",0.782,0.627
1 Samuel 31:13,1 Samuel,31,13,0,none,different_from_both,And they took their bones and buried them under the tamarisk tree at Jabesh and fasted seven days.,"And they took their bones, and buried them under a tree at Jabesh, and fasted seven days.","And they take their bones, and bury them in the field that is in Jabis, and fast seven days.",0.940,0.785
Exodus 23:30,Exodus,23,30,0,none,different_from_both,"Little by little I will drive them out from before you, until you increase and inherit the land.","By little and little I will drive them out from before you, until you be increased, and inherit the land.","By little and little I will cast them out from before thee, until thou shalt be increased and inherit the earth.",0.939,0.784
Jeremiah 23:25,Jeremiah,23,25,0,none,different_from_both,"I heard what prophets say, those prophesying lies in my name, saying, I dreamed dream.","I have heard what the prophets said, that prophesy lies in my name, saying, I have dreamed, I have dreamed.","I have heard what the prophets say, what they prophesy in my name, saying falsely, I have seen a night vision.",0.815,0.660
1 Chronicles 1:36,1 Chronicles,1,36,0,none,different_from_both,"Sons of Eliphaz: Teman, Omar, Zephi, Gatam, Kenaz, and from Timnah, Amalek.","The sons of Eliphaz; Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek.","The sons of Eliphaz: Thæman, and Omar, Sophar, and Goötham, and Kenez, and Thamna, and Amalec.",0.847,0.693
Deuteronomy 21:12,Deuteronomy,21,12,0,none,different_from_both,"then you shall bring her inside your house, and she shall shave her head and pare her nails,","Then you shall bring her home to yours house, and she shall shave her head, and trim her nails;","and shouldest bring her within thine house: then shalt thou shave her head, and pare her nails;",0.901,0.747
Exodus 20:15,Exodus,20,15,0,none,different_from_both,"""You shall not murder.""",You shall not steal.,Thou shalt not kill.,0.769,0.615
Malachi 2:5,Malachi,2,5,0,none,different_from_both,"My covenant with him was of life and peace, and I gave it to him in fear, to fear me and to shrink before my name.","My covenant was with him of life and peace; and I gave them to him for the fear wherewith he feared me, and was afraid before my name.","My covenant of life and peace was with him, and I gave it him that he might reverently fear me, and that he might be awe-struck at my name.",0.802,0.648
Numbers 31:13,Numbers,31,13,0,none,different_from_both,And Moses and Eleazar the priest and all the leaders of the congregation went out to meet them outside the camp.,"And Moses, and Eleazar the priest, and all the princes of the congregation, went forth to meet them without the camp.",And Moses and Eleazar the priest and all the rulers of the synagogue went forth out of the camp to meet them.,0.902,0.749
Deuteronomy 1:2,Deuteronomy,1,2,0,none,different_from_both,Eleven days from Horeb by the road of Mount Seir to Kadesh-Barnea.,(There are eleven days' journey from Horeb by the way of mount Seir unto Kadeshbarnea.),It is a journey of eleven days from Choreb to mount Seir as far as Cades Barne.,0.824,0.671
Joshua 19:25,Joshua,19,25,0,none,different_from_both,"And their boundaries came to be Helkath and Hali and Beten and Achshaph,","And their border was Helkath, and Hali, and Beten, and Achshaph,","And their borders were Exeleketh, and Aleph, and Bæthok, and Keaph,",0.840,0.687
1 Chronicles 16:37,1 Chronicles,16,37,0,none,different_from_both,"And they left there before ark of covenant of the Lord Asaph and his brothers to minister before ark continually, each day’s matter for its day,","So he left there before the ark of the covenant of the LORD Asaph and his brethren, to minister before the ark continually, as every day's work required:","And they left there Asaph and his brethren before the ark of the covenant of the Lord, to minister before the ark continually, according to the service of each day: from day to day.",0.804,0.652
1 Kings 18:14,1 Kings,18,14,0,none,different_from_both,"And now you say to me, Go, tell your lord, Behold, Elijah, and he will kill me.","And now you says, Go, tell your lord, Behold, Elijah is here: and he shall slay me.","And now thou sayest to me, Go, say to thy master, Behold, Eliu is here: and he shall slay me.",0.827,0.675
2 Chronicles 10:7,2 Chronicles,10,7,0,none,different_from_both,"And they spoke to him, saying, If today you become for good to this people and are pleased and speak good words to them, then they will be your servants all days.","And they spoke unto him, saying, If you be kind to this people, and please them, and speak good words to them, they will be your servants for ever.","And they spoke to him, saying, If thou wouldest this day befriend this people, and be kind to them, and speak to them good words, then will they be thy servants for ever.",0.829,0.677
2 Kings 25:2,2 Kings,25,2,0,none,different_from_both,And the city came under siege until the eleventh year of king Zedekiah.,And the city was besieged unto the eleventh year of king Zedekiah.,And the city was besieged until the eleventh year of king Sedekias on the ninth day of the month.,0.874,0.723
